Year,txtDSN,txtCSO,SumOfnumVolume,Events,txtWaterBody
2005,032,Hanford #2,91330000.00,15,Duwamish River/East Waterway
2005,034,Duwamish E,4950000.00,2,Duwamish River
2005,035,Duwamish W,230000.00,1,Duwamish River
2005,036,Chelan,1260000.00,2,Duwamish River/West Waterway
2005,037,Harbor Ave.,2420000.00,3,Duwamish River/West Waterway
2005,038,Terminal 115,1840000.00,2,Duwamish River
2005,039,Michigan St.,6870000.00,5,Duwamish River
2005,041,Brandon St.,26530000.00,27,Duwamish River
2005,042,Michigan W,700000.00,3,Duwamish River
2005,048a,North Beach Wet,410000.00,3,Puget Sound
2005,048b,North Beach Inlet,840000.00,10,Puget Sound
2005,054,63rd Ave,2310000.00,1,Puget Sound
2005,056,Murray,8340000.00,10,Puget Sound
2005,057,Barton,1010000.00,5,Puget Sound
2005,27a-1,Denny Way Local,21530000.00,13,Elliott Bay/Puget Sound
2005,27a-2,Denny Way Lake Union,76930000.00,12,Elliott Bay/Puget Sound
2005,27a-3,Interbay,59320000.00,7,Elliott Bay/Puget Sound
2006,003,Ballard,525295.00,5,Lake Washington Ship Canal
2006,004,11th Ave. NW,14955363.00,22,Lake Washington Ship Canal
2006,006,Magnolia S,88923116.00,30,Elliott Bay/Puget Sound
2006,008,3rd Ave. W,6663745.00,13,Lake Washington Ship Canal
2006,009,Dexter,11002559.00,20,Lake Union
2006,012,Belvoir,148476.00,1,Lake Washington
2006,015,University,93950237.00,12,Lake Washington Ship Canal
2006,027a,Denny RS,57562597.00,7,Elliott Bay/Puget Sound
2006,028,King Street,44485390.00,27,Elliott Bay/Puget Sound
2006,029,Kingdome,17595650.00,4,Elliott Bay/Puget Sound
2006,030,Lander St.,185901103.00,28,Duwamish River/East Waterway
2006,031a,Hanford @ Rainier,36100123.00,16,Duwamish River/East Waterway
2006,032,Hanford #2,175122187.00,26,Duwamish River/East Waterway
2006,036,Chelan,1582486.00,5,Duwamish River/West Waterway
2006,037,Harbor Ave.,18844345.00,5,Duwamish River/West Waterway
2006,038,Terminal 115,7067165.00,7,Duwamish River
2006,039,Michigan St.,9140298.00,13,Duwamish River
2006,041,Brandon St.,4370000.00,11,Duwamish River
2006,042,Michigan W,3369607.00,8,Duwamish River
2006,044b,Henderson/MLK,4830000.00,1,Duwamish River
2006,048a,North Beach Wet,829243.00,13,Puget Sound
2006,048b,North Beach Inlet,748238.00,15,Puget Sound
2006,051,Alki,21930000.00,1,Puget Sound
2006,053,53rd Ave. SW,36804.00,2,Elliott Bay/Puget Sound
2006,055,Alaska St. SW,55114.00,1,Puget Sound
2006,056,Murray,20487240.00,10,Puget Sound
2006,057,Barton,25308105.00,11,Puget Sound
2006,27a-1,Denny Way Local,170000.00,3,Elliott Bay/Puget Sound
2006,27a-2,Denny Way Lake Union,30000.00,2,Elliott Bay/Puget Sound
2007,003,Ballard,910537.00,2,Lake Washington Ship Canal
2007,004,11th Ave. NW,23489435.00,10,Lake Washington Ship Canal
2007,006,Magnolia S,56444667.00,21,Elliott Bay/Puget Sound
2007,007,Canal St.,1019018.00,1,Lake Washington Ship Canal
2007,008,3rd Ave. W,42074064.00,6,Lake Washington Ship Canal
2007,009,Dexter,28999995.00,9,Lake Union
2007,012,Belvoir,4089303.00,1,Lake Washington
2007,015,University,198223235.00,5,Lake Washington Ship Canal
2007,027a,Denny RS,29065200.00,1,Elliott Bay/Puget Sound
2007,027b,Elliott West,349920000.00,3,Elliott Bay/Puget Sound
2007,028,King Street,25375911.00,7,Elliott Bay/Puget Sound
2007,029,Kingdome,28557621.00,5,Elliott Bay/Puget Sound
2007,030,Lander St.,120537576.00,8,Duwamish River/East Waterway
2007,031a,Hanford @ Rainier,9995206.00,4,Duwamish River/East Waterway
2007,032,Hanford #2,65598493.00,12,Duwamish River/East Waterway
2007,034,Duwamish E,10096325.00,1,Duwamish River
2007,035,Duwamish W,6268539.00,1,Duwamish River
2007,036,Chelan,4505684.00,2,Duwamish River/West Waterway
2007,037,Harbor Ave.,28053234.00,2,Duwamish River/West Waterway
2007,038,Terminal 115,5364475.00,4,Duwamish River
2007,039,Michigan St.,98299924.00,5,Duwamish River
2007,042,Michigan W,3186749.00,4,Duwamish River
2007,044b,Henderson/MLK,19800000.00,1,Duwamish River
2007,046,Carkeek,35630000.00,1,Puget Sound
2007,048a,North Beach Wet,7327645.00,4,Puget Sound
2007,048b,North Beach Inlet,576388.00,6,Puget Sound
2007,051,Alki,77800000.00,1,Puget Sound
2007,053,53rd Ave. SW,1274529.00,1,Elliott Bay/Puget Sound
2007,055,Alaska St. SW,2285.00,1,Puget Sound
2007,056,Murray,107410188.00,4,Puget Sound
2007,057,Barton,12620361.00,3,Puget Sound
2008,003,Ballard,32518.00,1,Lake Washington Ship Canal
2008,004,11th Ave. NW,903055.00,7,Lake Washington Ship Canal
2008,006,Magnolia S,17435792.00,26,Elliott Bay/Puget Sound
2008,008,3rd Ave. W,1743583.00,3,Lake Washington Ship Canal
2008,009,Dexter,3598264.00,3,Lake Union
2008,014,Montlake,407251.00,1,Lake Washington Ship Canal
2008,015,University,6545240.00,3,Lake Washington Ship Canal
2008,027a,Denny RS,81495.00,2,Elliott Bay/Puget Sound
2008,027b,Elliott West,2960000.00,1,Elliott Bay/Puget Sound
2008,028,King Street,815653.00,3,Elliott Bay/Puget Sound
2008,029,Kingdome,229293.00,1,Elliott Bay/Puget Sound
2008,030,Lander St.,33623696.00,6,Duwamish River/East Waterway
2008,031a,Hanford @ Rainier,3254230.00,6,Duwamish River/East Waterway
2008,032,Hanford #2,23939992.00,8,Duwamish River/East Waterway
2008,039,Michigan St.,105226.00,3,Duwamish River
2008,041,Brandon St.,1898700.00,3,Duwamish River
2008,048a,North Beach Wet,6530.00,4,Puget Sound
2008,048b,North Beach Inlet,112078.00,3,Puget Sound
2008,053,53rd Ave. SW,99965.00,1,Elliott Bay/Puget Sound
2008,056,Murray,10311939.00,3,Puget Sound
2008,057,Barton,779492.00,2,Puget Sound
2009,003,Ballard,660812.00,8,Lake Washington Ship Canal
2009,004,11th Ave. NW,8914906.00,16,Lake Washington Ship Canal
2009,006,Magnolia S,6061884.00,25,Elliott Bay/Puget Sound
2009,007,Canal St.,418355.00,1,Lake Washington Ship Canal
2009,008,3rd Ave. W,10578307.00,9,Lake Washington Ship Canal
2009,009,Dexter,8124651.00,11,Lake Union
2009,014,Montlake,8716113.00,3,Lake Washington Ship Canal
2009,015,University,61898794.00,9,Lake Washington Ship Canal
2009,027a,Denny RS,953306.00,4,Elliott Bay/Puget Sound
2009,028,King Street,56238166.00,15,Elliott Bay/Puget Sound
2009,029,Kingdome,3544686.00,8,Elliott Bay/Puget Sound
2009,030,Lander St.,355927868.00,19,Duwamish River/East Waterway
2009,031a,Hanford @ Rainier,42011528.00,14,Duwamish River/East Waterway
2009,032,Hanford #2,36341949.00,17,Duwamish River/East Waterway
2009,038,Terminal 115,1146469.00,3,Duwamish River
2009,039,Michigan St.,12434895.00,10,Duwamish River
2009,041,Brandon St.,24149925.00,16,Duwamish River
2009,042,Michigan W,474681.00,8,Duwamish River
2009,048a,North Beach Wet,283130.00,14,Puget Sound
2009,048b,North Beach Inlet,682846.00,13,Puget Sound
2009,056,Murray,50497793.00,11,Puget Sound
2009,057,Barton,157392.00,2,Puget Sound
2010,003,Ballard,1433199.00,6,Lake Washington Ship Canal
2010,004,11th Ave. NW,13179721.00,19,Lake Washington Ship Canal
2010,006,Magnolia S,12250169.00,38,Elliott Bay/Puget Sound
2010,007,Canal St.,1123622.00,1,Lake Washington Ship Canal
2010,008,3rd Ave. W,25025932.00,8,Lake Washington Ship Canal
2010,009,Dexter,15109389.00,13,Lake Union
2010,012,Belvoir,4778145.00,2,Lake Washington
2010,014,Montlake,65427370.00,10,Lake Washington Ship Canal
2010,015,University,135381902.00,8,Lake Washington Ship Canal
2010,018,Matthews Park,6600000.00,1,Lake Washington
2010,027a,Denny RS,11125.00,2,Elliott Bay/Puget Sound
2010,028,King Street,32775036.00,18,Elliott Bay/Puget Sound
2010,029,Kingdome,9991516.00,6,Elliott Bay/Puget Sound
2010,030,Lander St.,502565171.00,17,Duwamish River/East Waterway
2010,031a,Hanford @ Rainier,76674809.00,13,Duwamish River/East Waterway
2010,031c,Bayview North,6624140.00,5,Duwamish River/East Waterway
2010,032,Hanford #2,138189416.00,18,Duwamish River/East Waterway
2010,034,Duwamish E,6067408.00,1,Duwamish River
2010,035,Duwamish W,35911.00,1,Duwamish River
2010,036,Chelan,13211184.00,3,Duwamish River/West Waterway
2010,037,Harbor Ave.,21288198.00,1,Duwamish River/West Waterway
2010,038,Terminal 115,3900369.00,3,Duwamish River
2010,039,Michigan St.,126186674.00,12,Duwamish River
2010,040,8th Ave./W Marginal Way,18.00,1,Duwamish River
2010,041,Brandon St.,38715418.00,11,Duwamish River
2010,042,Michigan W,2664881.00,11,Duwamish River
2010,048a,North Beach Wet,163806.00,10,Puget Sound
2010,048b,North Beach Inlet,3902200.00,6,Puget Sound
2010,054,63rd Ave,4627555.00,1,Puget Sound
2010,055,Alaska St. SW,23495.00,1,Puget Sound
2010,056,Murray,54917734.00,9,Puget Sound
2010,057,Barton,965905.00,4,Puget Sound
2011,003,Ballard,1118148.00,7,Lake Washington Ship Canal
2011,004,11th Ave. NW,8548291.00,16,Lake Washington Ship Canal
2011,006,Magnolia S,8840437.00,22,Elliott Bay/Puget Sound
2011,008,3rd Ave. W,5795081.00,7,Lake Washington Ship Canal
2011,009,Dexter,967316.00,8,Lake Union
2011,014,Montlake,22015836.00,8,Lake Washington Ship Canal
2011,015,University,48815940.00,6,Lake Washington Ship Canal
2011,027a,Denny RS,50613.00,2,Elliott Bay/Puget Sound
2011,028,King Street,16053502.00,15,Elliott Bay/Puget Sound
2011,029,Kingdome,418810.00,2,Elliott Bay/Puget Sound
2011,030,Lander St.,223304825.00,15,Duwamish River/East Waterway
2011,031a,Hanford @ Rainier,25588985.00,13,Duwamish River/East Waterway
2011,031c,Bayview North,310862.00,2,Duwamish River/East Waterway
2011,032,Hanford #2,215148888.00,15,Duwamish River/East Waterway
2011,036,Chelan,7330397.00,4,Duwamish River/West Waterway
2011,037,Harbor Ave.,5961131.00,1,Duwamish River/West Waterway
2011,039,Michigan St.,32703434.00,14,Duwamish River
2011,041,Brandon St.,9821970.00,7,Duwamish River
2011,042,Michigan W,684735.00,3,Duwamish River
2011,048a,North Beach Wet,22589128.00,15,Puget Sound
2011,048b,North Beach Inlet,2887006.00,8,Puget Sound
2011,054,63rd Ave,1554706.00,1,Puget Sound
2011,055,Alaska St. SW,19148.00,1,Puget Sound
2011,056,Murray,5761039.00,3,Puget Sound
2011,057,Barton,129652.00,1,Puget Sound
2012,003,Ballard,1668118.00,13,Lake Washington Ship Canal
2012,004,11th Ave. NW,18486212.00,20,Lake Washington Ship Canal
2012,006,Magnolia S,9755097.00,36,Elliott Bay/Puget Sound
2012,007,Canal St.,18819.00,1,Lake Washington Ship Canal
2012,008,3rd Ave. W,4381473.00,13,Lake Washington Ship Canal
2012,009,Dexter,9146016.00,13,Lake Union
2012,012,Belvoir,864797.00,1,Lake Washington
2012,014,Montlake,51843559.00,18,Lake Washington Ship Canal
2012,015,University,105058388.00,13,Lake Washington Ship Canal
2012,027a,Denny RS,580.00,1,Elliott Bay/Puget Sound
2012,028,King Street,7865932.00,13,Elliott Bay/Puget Sound
2012,029,Kingdome,47429418.00,11,Elliott Bay/Puget Sound
2012,030,Lander St.,524435439.00,25,Duwamish River/East Waterway
2012,031a,Hanford @ Rainier,89941019.00,18,Duwamish River/East Waterway
2012,031b,Bayview South,667100.00,1,Duwamish River/East Waterway
2012,031c,Bayview North,4586194.00,7,Duwamish River/East Waterway
2012,032,Hanford #2,333413251.00,23,Duwamish River/East Waterway
2012,036,Chelan,12016886.00,13,Duwamish River/West Waterway
2012,037,Harbor Ave.,16678543.00,3,Duwamish River/West Waterway
2012,038,Terminal 115,1937500.00,1,Duwamish River
2012,039,Michigan St.,75982142.00,16,Duwamish River
2012,041,Brandon St.,47750378.00,12,Duwamish River
2012,042,Michigan W,3390864.00,5,Duwamish River
2012,048a,North Beach Wet,11208348.00,20,Puget Sound
2012,048b,North Beach Inlet,4338033.00,13,Puget Sound
2012,053,53rd Ave. SW,558004.00,1,Elliott Bay/Puget Sound
2012,054,63rd Ave,11018376.00,3,Puget Sound
2012,055,Alaska St. SW,8063.00,1,Puget Sound
2012,056,Murray,8613011.00,5,Puget Sound
2012,057,Barton,1985628.00,4,Puget Sound
2013,003,Ballard,405929.00,6,Lake Washington Ship Canal
2013,004,11th Ave. NW,6399085.00,12,Lake Washington Ship Canal
2013,006,Magnolia S,3489482.00,16,Elliott Bay/Puget Sound
2013,008,3rd Ave. W,1294841.00,5,Lake Washington Ship Canal
2013,009,Dexter  ,5132144.00,6,Lake Union
2013,012,Belvoir,76123.00,1,Lake Washington
2013,014,Montlake,24515468.00,7,Lake Washington Ship Canal
2013,015,University  ,34655740.00,4,Lake Washington Ship Canal
2013,027a,Denny RS,14989682.00,2,Elliott Bay/Puget Sound
2013,028,King Street,726875.00,2,Elliott Bay/Puget Sound
2013,029,Kingdome,30786772.00,6,Elliott Bay/Puget Sound
2013,030,Lander St.,79675677.00,8,Duwamish River/East Waterway
2013,031a,Hanford @ Rainier,29135326.00,10,Duwamish River/East Waterway
2013,031b,Bayview South,209581.00,2,Duwamish River/East Waterway
2013,031c,Bayview North,4012781.00,4,Duwamish River/East Waterway
2013,032,Hanford #2,104197235.00,9,Duwamish River/East Waterway
2013,035,Duwamish W,294.00,1,Duwamish River
2013,036,Chelan,2521298.00,4,Duwamish River/West Waterway
2013,037,Harbor Ave.,2289845.00,2,Duwamish River/West Waterway
2013,038,Terminal 115,31840.00,1,Duwamish River
2013,039,Michigan St.,22297654.00,8,Duwamish River
2013,041,Brandon St. ,14196866.00,7,Duwamish River
2013,042,Michigan W,869516.00,2,Duwamish River
2013,048a,North Beach Wet,389327.00,13,Puget Sound
2013,048b,North Beach Inlet,463023.00,3,Puget Sound
2013,054,63rd Ave,664057.00,2,Puget Sound
2013,056,Murray,567568.00,4,Puget Sound
2013,057,Barton  ,2216779.00,5,Puget Sound
